Posting Date,Transaction Date,Amount,Credit Debit Indicator,type,Type Group,Reference,Instructed Currency,Currency Exchange Rate,Instructed Amount,Description,Category,Check Serial Number,Card Ending
07/14/2025,07/12/2025,65.00,Debit,POS,POS,,,,,Transfer to Venmo,Transfers,,
07/14/2025,07/12/2025,36.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*THE BYE AND BY PORTLAND OR,Restaurants/Dining,,
07/14/2025,07/12/2025,30.88,Debit,POS,POS,,,,,Whole Foods Market,Groceries,,
07/14/2025,07/11/2025,22.25,Debit,POS,POS,,,,,DEBIT-DC 7898 NEW CASCADIA TRADI PORTLAND OR,Other Expenses,,
07/14/2025,07/10/2025,19.75,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
07/14/2025,07/13/2025,17.99,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *AMEDIA PORTLAND OR,Other Expenses,,
07/14/2025,07/10/2025,14.99,Debit,POS,POS,,,,,Sony PlayStation Network,Entertainment,,
07/14/2025,07/13/2025,12.60,Debit,POS,POS,,,,,Lyft,Travel,,
07/14/2025,07/12/2025,12.59,Debit,POS,POS,,,,,Lyft,Travel,,
07/14/2025,07/11/2025,12.07,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/14/2025,07/12/2025,12.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TST* DONNIE VEGAS PORTLAND OR,Restaurants/Dining,,
07/14/2025,07/12/2025,11.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TST* DONNIE VEGAS PORTLAND OR,Restaurants/Dining,,
07/14/2025,07/12/2025,7.00,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *MARYHILL FRUIT PORTLAND OR,Groceries,,
07/14/2025,07/10/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/14/2025,07/12/2025,2.59,Debit,POS,POS,,,,,365 Retail Markets,Groceries,,
07/14/2025,07/12/2025,23.95,Debit,ATM,ATM,,,,,ATM Withdrawal Plus Donnie Vegas Portland OR US,ATM/Cash Withdrawals,,
07/14/2025,07/12/2025,1.00,Debit,Debit,Debit,,,,,ATM Fee - Withdrawal,Service Charges/Fees,,
07/11/2025,07/10/2025,30.00,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
07/11/2025,07/10/2025,19.81,Debit,POS,POS,,,,,Trader Joe's,Groceries,,
07/11/2025,07/09/2025,12.00,Debit,POS,POS,,,,,Portland State University Parking,Travel,,
07/11/2025,07/09/2025,7.00,Debit,POS,POS,,,,,DEBIT-DC 7898 SUBSCRIBESTAR XX0818 WY,Other Expenses,,
07/11/2025,07/09/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/11/2025,07/09/2025,2.99,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,
07/10/2025,07/08/2025,13.80,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *FOMO CHICKEN PORTLAND OR,Restaurants/Dining,,
